country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Iceland,IS,ISL,356991,0,0,1/6/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,0,6/8/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,4/14/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,354,16,5/21/2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,4696,120,8/26/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,9/22/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,15635,136,10/17/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,7/21/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,352,10,5/29/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,10/24/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,0,9/20/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,278,12,7/8/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,1/23/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,1/4/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,6/1/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,4768,85,10/12/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1255,58,3/22/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,262,9,7/10/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1693,66,10/16/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,755,14,6/28/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,1/2/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,16,3,5/27/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,5292,913,4/18/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,3/2/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,548,10,7/10/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,457,4,4/21/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,60,4,5/1/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,159,6,7/18/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,20,1,6/7/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,518,25,9/8/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,388,5,7/20/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,2/1/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,3/2/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,913,4,5/8/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,1141,18,3/27/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,92,1,4/2/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,0,1/29/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,86,4,4/8/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,1/16/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,315,2,7/11/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,2/23/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,1/13/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,1/22/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,3,0,5/5/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,1,0,6/16/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,9/10/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,105,1,9/29/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,15,0,10/16/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,36,0,6/7/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,151,5,5/22/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,9,0,9/18/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,0,9/13/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,6557,795,3/22/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,0,2/17/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,6,0,6/10/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2,0,8/18/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1766,17,9/28/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,69,2,6/26/2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,963,1,9/9/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,3,0,3/26/2020,"Epidemic intelligence, national daily data"
